fetures,p-val
-_MSTRG.88546,
-_MSTRG.33658,
-_MSTRG.70670,
-_MSTRG.64406,
AC114947.1_MSTRG.70288,0.11476787993488047
LINC00528_MSTRG.57536,0.0038683759680719957
-_MSTRG.92799,
-_MSTRG.5772,
-_MSTRG.53431,
-_MSTRG.30833,
-_MSTRG.78518,
RNU6-272P_MSTRG.70411,0.32938169882122337
-_MSTRG.1781,
AURKAP2_MSTRG.12776,0.0004396045488867381
AC079336.1_MSTRG.37399,0.0004568811334333983
-_MSTRG.16054,
-_MSTRG.19128,
-_MSTRG.77897,
AC243964.2_MSTRG.45044,0.8476916706849866
RGS17_MSTRG.78534,6.114214094829587e-05
-_MSTRG.35607,
AL445493.1_MSTRG.7792,0.3073664428258224
AL365205.4_MSTRG.75780,0.6119733442425714
-_MSTRG.59065,
Metazoa_SRP_MSTRG.23821,0.012923409562174911
-_MSTRG.91036,
-_MSTRG.12292,
-_MSTRG.513,
-_MSTRG.50293,
-_MSTRG.9399,
LRRC38_MSTRG.1054,0.08386675773952124
-_MSTRG.15511,
-_MSTRG.14718,
-_MSTRG.8656,
-_MSTRG.12033,
-_MSTRG.22780,
-_MSTRG.26281,
AC008549.3_MSTRG.71936,0.011288274062624202
-_MSTRG.63224,
AL136164.3_MSTRG.76489,0.0021728850269838672
AL109615.4_MSTRG.75927,0.6349245744832106
-_MSTRG.59690,
NWD2_MSTRG.65530,0.00011097757365610522
IL5_MSTRG.72319,0.7123670994637272
AC083863.1_MSTRG.79996,0.3713679360970631
LINC01597_MSTRG.54266,0.06540253377228797
HNRNPCP7_MSTRG.80937,0.5925171366482866
-_MSTRG.9953,
-_MSTRG.18363,
-_MSTRG.27731,
-_MSTRG.30773,
-_MSTRG.86952,
-_MSTRG.79893,
-_MSTRG.32106,
-_MSTRG.4603,
-_MSTRG.37306,
AP003175.1_MSTRG.16645,0.5051078010166118
-_MSTRG.84031,
AC104836.1_MSTRG.4072,0.13397335193144866
-_MSTRG.9164,
-_MSTRG.12247,
-_MSTRG.89781,
-_MSTRG.26092,
-_MSTRG.1691,
-_MSTRG.8563,
-_MSTRG.49607,
-_MSTRG.69935,
-_MSTRG.62657,
-_MSTRG.91286,
-_MSTRG.51821,
-_MSTRG.86114,
-_MSTRG.36507,
-_MSTRG.40660,
-_MSTRG.13201,
RNA5SP108_MSTRG.50897,0.016062229486059593
AL390957.1_MSTRG.7231,5.687136863596452e-06
-_MSTRG.22136,
SPACA4_MSTRG.45329,0.002664867460336592
-_MSTRG.83106,
-_MSTRG.66349,
SNRPFP1_MSTRG.55159,0.020078623872528973
-_MSTRG.76569,
-_MSTRG.42752,
-_MSTRG.18553,
-_MSTRG.77705,
-_MSTRG.44417,
GDF7_MSTRG.46837,7.600111655344494e-08
-_MSTRG.70664,
HMGN2P18_MSTRG.5856,0.0666401606354921
AC015909.5_MSTRG.38610,0.15028497965512758
-_MSTRG.13949,
RPL3P3_MSTRG.26948,5.82965102346663e-07
RPL34P23_MSTRG.18183,0.0017680569512531557
MIR941-4_MSTRG.55862,0.24747936914306773
-_MSTRG.6661,
-_MSTRG.685,
HNRNPA1P27_MSTRG.94212,0.7922102702128773
AL136317.3_MSTRG.89587,0.19045429282770704
EFL1P1_MSTRG.31459,0.17389996070843247
-_MSTRG.86815,
-_MSTRG.67471,
-_MSTRG.63961,
-_MSTRG.81403,
-_MSTRG.2820,
-_MSTRG.17988,
-_MSTRG.16272,
-_MSTRG.63330,
-_MSTRG.74511,
-_MSTRG.87239,
-_MSTRG.15605,
AC024270.1_MSTRG.31434,0.04201310557711485
-_MSTRG.86907,
-_MSTRG.59515,
AL139246.1_MSTRG.567,0.5700939865591826
-_MSTRG.5640,
-_MSTRG.38668,
KRT36_MSTRG.37952,3.071980742217447e-05
-_MSTRG.70618,
RPS15AP28_MSTRG.11296,0.875678106573768
-_MSTRG.77746,
-_MSTRG.8425,
AL022344.1_MSTRG.10581,1.9522844401383695e-21
-_MSTRG.20746,
MIR3120_MSTRG.6683,0.0005743915499553109
-_MSTRG.16570,
AL645939.4_MSTRG.75056,0.3816749765192372
